"AdditionalProperties","Timestamp","ResourceId","PolicyAssignmentId","PolicyDefinitionId","EffectiveParameters","IsCompliant","SubscriptionId","ResourceType","ResourceLocation","ResourceGroup","ResourceTags","PolicyAssignmentName","PolicyAssignmentOwner","PolicyAssignmentParameters","PolicyAssignmentScope","PolicyDefinitionName","PolicyDefinitionAction","PolicyDefinitionCategory","PolicySetDefinitionId","PolicySetDefinitionName","PolicySetDefinitionOwner","PolicySetDefinitionCategory","PolicySetDefinitionParameters","ManagementGroupIds","PolicyDefinitionReferenceId","ComplianceState","PolicyEvaluationDetails","PolicyDefinitionGroupNames","PolicyDefinitionVersion","PolicySetDefinitionVersion","PolicyAssignmentVersion"
"System.Collections.Generic.Dictionary`2[System.String,System.Object]","3/15/2024 5:16:08 AM","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc/resourcegroups/cloud-shell-storage-southcentralus/providers/microsoft.storage/storageaccounts/cs710032001685e8b3a","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc/providers/microsoft.authorization/policyassignments/securitycenterbuiltin","/providers/microsoft.authorization/policydefinitions/4fa4b6c0-31ca-4c0d-b10d-24b96f62a751","","True","9e433097-fcac-4ffc-83ea-73c516eb84cc","Microsoft.Storage/storageAccounts","southcentralus","cloud-shell-storage-southcentralus","tbd","SecurityCenterBuiltIn","tbd","","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc","4fa4b6c0-31ca-4c0d-b10d-24b96f62a751","audit","tbd","/providers/Microsoft.Authorization/policySetDefinitions/1f3afdf9-d0c9-4c3d-847f-89da613e70a8","1f3afdf9-d0c9-4c3d-847f-89da613e70a8","","security center","","","storagedisallowpublicaccess","Compliant",,"System.Collections.Generic.List`1[System.String]","3.1.0-preview","57.33.0",""
"System.Collections.Generic.Dictionary`2[System.String,System.Object]","3/15/2024 5:16:08 AM","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc/resourcegroups/cloud-shell-storage-southcentralus/providers/microsoft.storage/storageaccounts/cs710032001685e8b3a","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc/providers/microsoft.authorization/policyassignments/securitycenterbuiltin","/providers/microsoft.authorization/policydefinitions/37e0d2fe-28a5-43d6-a273-67d37d1f5606","","True","9e433097-fcac-4ffc-83ea-73c516eb84cc","Microsoft.Storage/storageAccounts","southcentralus","cloud-shell-storage-southcentralus","tbd","SecurityCenterBuiltIn","tbd","","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc","37e0d2fe-28a5-43d6-a273-67d37d1f5606","audit","tbd","/providers/Microsoft.Authorization/policySetDefinitions/1f3afdf9-d0c9-4c3d-847f-89da613e70a8","1f3afdf9-d0c9-4c3d-847f-89da613e70a8","","security center","","","classicstorageaccountsmonitoring","Compliant",,"System.Collections.Generic.List`1[System.String]","1.0.0","57.33.0",""
"System.Collections.Generic.Dictionary`2[System.String,System.Object]","3/15/2024 5:16:08 AM","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc/resourcegroups/cloud-shell-storage-southcentralus/providers/microsoft.storage/storageaccounts/cs710032001685e8b3a","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc/providers/microsoft.authorization/policyassignments/securitycenterbuiltin","/providers/microsoft.authorization/policydefinitions/404c3081-a854-4457-ae30-26a93ef643f9","","True","9e433097-fcac-4ffc-83ea-73c516eb84cc","Microsoft.Storage/storageAccounts","southcentralus","cloud-shell-storage-southcentralus","tbd","SecurityCenterBuiltIn","tbd","","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc","404c3081-a854-4457-ae30-26a93ef643f9","audit","tbd","/providers/Microsoft.Authorization/policySetDefinitions/1f3afdf9-d0c9-4c3d-847f-89da613e70a8","1f3afdf9-d0c9-4c3d-847f-89da613e70a8","","security center","","","securetransfertostorageaccountmonitoring","Compliant",,"System.Collections.Generic.List`1[System.String]","2.0.0","57.33.0",""
"System.Collections.Generic.Dictionary`2[System.String,System.Object]","3/15/2024 4:56:10 AM","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc/resourcegroups/intelasensewebapp-rg/providers/microsoft.web/sites/intelasenseaiweb","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc/providers/microsoft.authorization/policyassignments/securitycenterbuiltin","/providers/microsoft.authorization/policydefinitions/f0e6e85b-9b9f-4a4b-b67b-f730d42f1b0b","","True","9e433097-fcac-4ffc-83ea-73c516eb84cc","Microsoft.Web/sites","eastus","IntelasenseWebApp-RG","tbd","SecurityCenterBuiltIn","tbd","","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc","f0e6e85b-9b9f-4a4b-b67b-f730d42f1b0b","auditifnotexists","tbd","/providers/Microsoft.Authorization/policySetDefinitions/1f3afdf9-d0c9-4c3d-847f-89da613e70a8","1f3afdf9-d0c9-4c3d-847f-89da613e70a8","","security center","","","latesttlsversionshouldbeusedinyourwebappmonitoringeffect","Compliant",,"System.Collections.Generic.List`1[System.String]","2.0.1","57.33.0",""
"System.Collections.Generic.Dictionary`2[System.String,System.Object]","3/15/2024 4:56:10 AM","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc/resourcegroups/intelasensewebapp-rg/providers/microsoft.web/sites/intelasenseaiweb","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc/providers/microsoft.authorization/policyassignments/securitycenterbuiltin","/providers/microsoft.authorization/policydefinitions/5744710e-cc2f-4ee8-8809-3b11e89f4bc9","","True","9e433097-fcac-4ffc-83ea-73c516eb84cc","Microsoft.Web/sites","eastus","IntelasenseWebApp-RG","tbd","SecurityCenterBuiltIn","tbd","","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc","5744710e-cc2f-4ee8-8809-3b11e89f4bc9","auditifnotexists","tbd","/providers/Microsoft.Authorization/policySetDefinitions/1f3afdf9-d0c9-4c3d-847f-89da613e70a8","1f3afdf9-d0c9-4c3d-847f-89da613e70a8","","security center","","","webapprestrictcorsaccessmonitoring","Compliant",,"System.Collections.Generic.List`1[System.String]","2.0.0","57.33.0",""
"System.Collections.Generic.Dictionary`2[System.String,System.Object]","3/15/2024 4:56:09 AM","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc/resourcegroups/intelasensewebapp-rg/providers/microsoft.web/sites/intelasenseaiweb","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc/providers/microsoft.authorization/policyassignments/securitycenterbuiltin","/providers/microsoft.authorization/policydefinitions/2b9ad585-36bc-4615-b300-fd4435808332","","True","9e433097-fcac-4ffc-83ea-73c516eb84cc","Microsoft.Web/sites","eastus","IntelasenseWebApp-RG","tbd","SecurityCenterBuiltIn","tbd","","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc","2b9ad585-36bc-4615-b300-fd4435808332","auditifnotexists","tbd","/providers/Microsoft.Authorization/policySetDefinitions/1f3afdf9-d0c9-4c3d-847f-89da613e70a8","1f3afdf9-d0c9-4c3d-847f-89da613e70a8","","security center","","","managedidentityshouldbeusedinyourwebappmonitoringeffect","Compliant",,"System.Collections.Generic.List`1[System.String]","3.0.0","57.33.0",""
"System.Collections.Generic.Dictionary`2[System.String,System.Object]","3/15/2024 4:56:09 AM","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc/resourcegroups/intelasensewebapp-rg/providers/microsoft.web/sites/intelasenseaiweb","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc/providers/microsoft.authorization/policyassignments/securitycenterbuiltin","/providers/microsoft.authorization/policydefinitions/cb510bfd-1cba-4d9f-a230-cb0976f4bb71","","True","9e433097-fcac-4ffc-83ea-73c516eb84cc","Microsoft.Web/sites","eastus","IntelasenseWebApp-RG","tbd","SecurityCenterBuiltIn","tbd","","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc","cb510bfd-1cba-4d9f-a230-cb0976f4bb71","auditifnotexists","tbd","/providers/Microsoft.Authorization/policySetDefinitions/1f3afdf9-d0c9-4c3d-847f-89da613e70a8","1f3afdf9-d0c9-4c3d-847f-89da613e70a8","","security center","","","webappdisableremotedebuggingmonitoring","Compliant",,"System.Collections.Generic.List`1[System.String]","2.0.0","57.33.0",""
"System.Collections.Generic.Dictionary`2[System.String,System.Object]","3/15/2024 4:56:09 AM","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc/resourcegroups/imageronapp-rg/providers/microsoft.web/sites/iamgeroncom","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc/providers/microsoft.authorization/policyassignments/securitycenterbuiltin","/providers/microsoft.authorization/policydefinitions/cb510bfd-1cba-4d9f-a230-cb0976f4bb71","","True","9e433097-fcac-4ffc-83ea-73c516eb84cc","Microsoft.Web/sites","eastus","ImageronApp-RG","tbd","SecurityCenterBuiltIn","tbd","","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc","cb510bfd-1cba-4d9f-a230-cb0976f4bb71","auditifnotexists","tbd","/providers/Microsoft.Authorization/policySetDefinitions/1f3afdf9-d0c9-4c3d-847f-89da613e70a8","1f3afdf9-d0c9-4c3d-847f-89da613e70a8","","security center","","","webappdisableremotedebuggingmonitoring","Compliant",,"System.Collections.Generic.List`1[System.String]","2.0.0","57.33.0",""
"System.Collections.Generic.Dictionary`2[System.String,System.Object]","3/15/2024 4:56:09 AM","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc/resourcegroups/imageronapp-rg/providers/microsoft.web/sites/iamgeroncom","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc/providers/microsoft.authorization/policyassignments/securitycenterbuiltin","/providers/microsoft.authorization/policydefinitions/f0e6e85b-9b9f-4a4b-b67b-f730d42f1b0b","","True","9e433097-fcac-4ffc-83ea-73c516eb84cc","Microsoft.Web/sites","eastus","ImageronApp-RG","tbd","SecurityCenterBuiltIn","tbd","","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc","f0e6e85b-9b9f-4a4b-b67b-f730d42f1b0b","auditifnotexists","tbd","/providers/Microsoft.Authorization/policySetDefinitions/1f3afdf9-d0c9-4c3d-847f-89da613e70a8","1f3afdf9-d0c9-4c3d-847f-89da613e70a8","","security center","","","latesttlsversionshouldbeusedinyourwebappmonitoringeffect","Compliant",,"System.Collections.Generic.List`1[System.String]","2.0.1","57.33.0",""
"System.Collections.Generic.Dictionary`2[System.String,System.Object]","3/15/2024 4:56:09 AM","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc/resourcegroups/imageronapp-rg/providers/microsoft.web/sites/iamgeroncom","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc/providers/microsoft.authorization/policyassignments/securitycenterbuiltin","/providers/microsoft.authorization/policydefinitions/5744710e-cc2f-4ee8-8809-3b11e89f4bc9","","True","9e433097-fcac-4ffc-83ea-73c516eb84cc","Microsoft.Web/sites","eastus","ImageronApp-RG","tbd","SecurityCenterBuiltIn","tbd","","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc","5744710e-cc2f-4ee8-8809-3b11e89f4bc9","auditifnotexists","tbd","/providers/Microsoft.Authorization/policySetDefinitions/1f3afdf9-d0c9-4c3d-847f-89da613e70a8","1f3afdf9-d0c9-4c3d-847f-89da613e70a8","","security center","","","webapprestrictcorsaccessmonitoring","Compliant",,"System.Collections.Generic.List`1[System.String]","2.0.0","57.33.0",""
