"AdditionalProperties","Timestamp","ResourceId","PolicyAssignmentId","PolicyDefinitionId","EffectiveParameters","IsCompliant","SubscriptionId","ResourceType","ResourceLocation","ResourceGroup","ResourceTags","PolicyAssignmentName","PolicyAssignmentOwner","PolicyAssignmentParameters","PolicyAssignmentScope","PolicyDefinitionName","PolicyDefinitionAction","PolicyDefinitionCategory","PolicySetDefinitionId","PolicySetDefinitionName","PolicySetDefinitionOwner","PolicySetDefinitionCategory","PolicySetDefinitionParameters","ManagementGroupIds","PolicyDefinitionReferenceId","ComplianceState","PolicyEvaluationDetails","PolicyDefinitionGroupNames","PolicyDefinitionVersion","PolicySetDefinitionVersion","PolicyAssignmentVersion"
"System.Collections.Generic.Dictionary`2[System.String,System.Object]","3/19/2024 1:53:12 AM","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc/resourcegroups/azureml-rg/providers/microsoft.keyvault/vaults/azuremlworkspa1429249400","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc/providers/microsoft.authorization/policyassignments/8e80ab1009834b55a84887c9","/providers/microsoft.authorization/policydefinitions/98728c90-32c7-4049-8429-847dc0f4fe37","","True","9e433097-fcac-4ffc-83ea-73c516eb84cc","Microsoft.KeyVault/vaults","eastus","AzureML-RG","tbd","8e80ab1009834b55a84887c9","tbd","","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc","98728c90-32c7-4049-8429-847dc0f4fe37","audit","tbd","/providers/Microsoft.Authorization/policySetDefinitions/cf25b9c1-bd23-4eb6-bd2c-f4f3ac644a5f","cf25b9c1-bd23-4eb6-bd2c-f4f3ac644a5f","","Regulatory Compliance","","","98728c90-32c7-4049-8429-847dc0f4fe37","Compliant",,"System.Collections.Generic.List`1[System.String]","1.0.2","17.8.0",""
"System.Collections.Generic.Dictionary`2[System.String,System.Object]","3/19/2024 1:53:12 AM","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc/resourcegroups/keyvault-rg/providers/microsoft.keyvault/vaults/keyvault-intelasense","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc/providers/microsoft.authorization/policyassignments/8e80ab1009834b55a84887c9","/providers/microsoft.authorization/policydefinitions/98728c90-32c7-4049-8429-847dc0f4fe37","","False","9e433097-fcac-4ffc-83ea-73c516eb84cc","Microsoft.KeyVault/vaults","eastus","KeyVault-RG","tbd","8e80ab1009834b55a84887c9","tbd","","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc","98728c90-32c7-4049-8429-847dc0f4fe37","audit","tbd","/providers/Microsoft.Authorization/policySetDefinitions/cf25b9c1-bd23-4eb6-bd2c-f4f3ac644a5f","cf25b9c1-bd23-4eb6-bd2c-f4f3ac644a5f","","Regulatory Compliance","","","98728c90-32c7-4049-8429-847dc0f4fe37","NonCompliant",,"System.Collections.Generic.List`1[System.String]","1.0.2","17.8.0",""
"System.Collections.Generic.Dictionary`2[System.String,System.Object]","3/19/2024 12:31:44 AM","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc/resourcegroups/erupe_test_rg/providers/microsoft.keyvault/vaults/keyvaultfrance31","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc/providers/microsoft.authorization/policyassignments/8e80ab1009834b55a84887c9","/providers/microsoft.authorization/policydefinitions/cf820ca0-f99e-4f3e-84fb-66e913812d21","","False","9e433097-fcac-4ffc-83ea-73c516eb84cc","Microsoft.KeyVault/vaults","francecentral","Erupe_Test_RG","tbd","8e80ab1009834b55a84887c9","tbd","","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc","cf820ca0-f99e-4f3e-84fb-66e913812d21","auditifnotexists","tbd","/providers/Microsoft.Authorization/policySetDefinitions/cf25b9c1-bd23-4eb6-bd2c-f4f3ac644a5f","cf25b9c1-bd23-4eb6-bd2c-f4f3ac644a5f","","regulatory compliance","","","cf820ca0-f99e-4f3e-84fb-66e913812d21","NonCompliant",,"System.Collections.Generic.List`1[System.String]","5.0.0","17.8.0",""
"System.Collections.Generic.Dictionary`2[System.String,System.Object]","3/19/2024 12:31:44 AM","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc/resourcegroups/erupe_test_rg/providers/microsoft.keyvault/vaults/keyvaultfrance31","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc/providers/microsoft.authorization/policyassignments/securitycenterbuiltin","/providers/microsoft.authorization/policydefinitions/cf820ca0-f99e-4f3e-84fb-66e913812d21","","False","9e433097-fcac-4ffc-83ea-73c516eb84cc","Microsoft.KeyVault/vaults","francecentral","Erupe_Test_RG","tbd","SecurityCenterBuiltIn","tbd","","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc","cf820ca0-f99e-4f3e-84fb-66e913812d21","auditifnotexists","tbd","/providers/Microsoft.Authorization/policySetDefinitions/1f3afdf9-d0c9-4c3d-847f-89da613e70a8","1f3afdf9-d0c9-4c3d-847f-89da613e70a8","","security center","","","diagnosticslogsinkeyvaultmonitoring","NonCompliant",,"System.Collections.Generic.List`1[System.String]","5.0.0","57.33.0",""
"System.Collections.Generic.Dictionary`2[System.String,System.Object]","3/19/2024 12:31:13 AM","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc/resourcegroups/erupe_test_rg/providers/microsoft.keyvault/vaults/keyvaultfrance31","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc/providers/microsoft.authorization/policyassignments/securitycenterbuiltin","/providers/microsoft.authorization/policydefinitions/a6abeaec-4d90-4a02-805f-6b26c4d3fbe9","","False","9e433097-fcac-4ffc-83ea-73c516eb84cc","Microsoft.KeyVault/vaults","francecentral","Erupe_Test_RG","tbd","SecurityCenterBuiltIn","tbd","","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc","a6abeaec-4d90-4a02-805f-6b26c4d3fbe9","audit","tbd","/providers/Microsoft.Authorization/policySetDefinitions/1f3afdf9-d0c9-4c3d-847f-89da613e70a8","1f3afdf9-d0c9-4c3d-847f-89da613e70a8","","security center","","","privateendpointshouldbeconfiguredforkeyvaultmonitoringeffect","NonCompliant",,"System.Collections.Generic.List`1[System.String]","1.2.1","57.33.0",""
"System.Collections.Generic.Dictionary`2[System.String,System.Object]","3/19/2024 12:31:13 AM","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc/resourcegroups/erupe_test_rg/providers/microsoft.keyvault/vaults/keyvaultfrance31","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc/providers/microsoft.authorization/policyassignments/securitycenterbuiltin","/providers/microsoft.authorization/policydefinitions/55615ac9-af46-4a59-874e-391cc3dfb490","","False","9e433097-fcac-4ffc-83ea-73c516eb84cc","Microsoft.KeyVault/vaults","francecentral","Erupe_Test_RG","tbd","SecurityCenterBuiltIn","tbd","","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc","55615ac9-af46-4a59-874e-391cc3dfb490","audit","tbd","/providers/Microsoft.Authorization/policySetDefinitions/1f3afdf9-d0c9-4c3d-847f-89da613e70a8","1f3afdf9-d0c9-4c3d-847f-89da613e70a8","","security center","","","firewallshouldbeenabledonkeyvaultmonitoringeffect","NonCompliant",,"System.Collections.Generic.List`1[System.String]","3.2.1","57.33.0",""
"System.Collections.Generic.Dictionary`2[System.String,System.Object]","3/19/2024 12:31:13 AM","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc/resourcegroups/erupe_test_rg/providers/microsoft.keyvault/vaults/keyvaultfrance31","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc/providers/microsoft.authorization/policyassignments/securitycenterbuiltin","/providers/microsoft.authorization/policydefinitions/1e66c121-a66a-4b1f-9b83-0fd99bf0fc2d","","True","9e433097-fcac-4ffc-83ea-73c516eb84cc","Microsoft.KeyVault/vaults","francecentral","Erupe_Test_RG","tbd","SecurityCenterBuiltIn","tbd","","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc","1e66c121-a66a-4b1f-9b83-0fd99bf0fc2d","audit","tbd","/providers/Microsoft.Authorization/policySetDefinitions/1f3afdf9-d0c9-4c3d-847f-89da613e70a8","1f3afdf9-d0c9-4c3d-847f-89da613e70a8","","security center","","","keyvaultsshouldhavesoftdeleteenabledmonitoringeffect","Compliant",,"System.Collections.Generic.List`1[System.String]","3.0.0","57.33.0",""
"System.Collections.Generic.Dictionary`2[System.String,System.Object]","3/19/2024 12:31:13 AM","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc/resourcegroups/erupe_test_rg/providers/microsoft.keyvault/vaults/keyvaultfrance31","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc/providers/microsoft.authorization/policyassignments/securitycenterbuiltin","/providers/microsoft.authorization/policydefinitions/0b60c0b2-2dc2-4e1c-b5c9-abbed971de53","","False","9e433097-fcac-4ffc-83ea-73c516eb84cc","Microsoft.KeyVault/vaults","francecentral","Erupe_Test_RG","tbd","SecurityCenterBuiltIn","tbd","","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc","0b60c0b2-2dc2-4e1c-b5c9-abbed971de53","audit","tbd","/providers/Microsoft.Authorization/policySetDefinitions/1f3afdf9-d0c9-4c3d-847f-89da613e70a8","1f3afdf9-d0c9-4c3d-847f-89da613e70a8","","security center","","","keyvaultsshouldhavepurgeprotectionenabledmonitoringeffect","NonCompliant",,"System.Collections.Generic.List`1[System.String]","2.1.0","57.33.0",""
"System.Collections.Generic.Dictionary`2[System.String,System.Object]","3/19/2024 12:31:13 AM","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc/resourcegroups/erupe_test_rg/providers/microsoft.keyvault/vaults/keyvaultfrance31","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc/providers/microsoft.authorization/policyassignments/8e80ab1009834b55a84887c9","/providers/microsoft.authorization/policydefinitions/1e66c121-a66a-4b1f-9b83-0fd99bf0fc2d","","True","9e433097-fcac-4ffc-83ea-73c516eb84cc","Microsoft.KeyVault/vaults","francecentral","Erupe_Test_RG","tbd","8e80ab1009834b55a84887c9","tbd","","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc","1e66c121-a66a-4b1f-9b83-0fd99bf0fc2d","audit","tbd","/providers/Microsoft.Authorization/policySetDefinitions/cf25b9c1-bd23-4eb6-bd2c-f4f3ac644a5f","cf25b9c1-bd23-4eb6-bd2c-f4f3ac644a5f","","regulatory compliance","","","1e66c121-a66a-4b1f-9b83-0fd99bf0fc2d","Compliant",,"System.Collections.Generic.List`1[System.String]","3.0.0","17.8.0",""
"System.Collections.Generic.Dictionary`2[System.String,System.Object]","3/19/2024 12:31:13 AM","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc/resourcegroups/erupe_test_rg/providers/microsoft.keyvault/vaults/keyvaultfrance31","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc/providers/microsoft.authorization/policyassignments/8e80ab1009834b55a84887c9","/providers/microsoft.authorization/policydefinitions/0b60c0b2-2dc2-4e1c-b5c9-abbed971de53","","False","9e433097-fcac-4ffc-83ea-73c516eb84cc","Microsoft.KeyVault/vaults","francecentral","Erupe_Test_RG","tbd","8e80ab1009834b55a84887c9","tbd","","/subscriptions/9e433097-fcac-4ffc-83ea-73c516eb84cc","0b60c0b2-2dc2-4e1c-b5c9-abbed971de53","audit","tbd","/providers/Microsoft.Authorization/policySetDefinitions/cf25b9c1-bd23-4eb6-bd2c-f4f3ac644a5f","cf25b9c1-bd23-4eb6-bd2c-f4f3ac644a5f","","regulatory compliance","","","0b60c0b2-2dc2-4e1c-b5c9-abbed971de53","NonCompliant",,"System.Collections.Generic.List`1[System.String]","2.1.0","17.8.0",""
